name,year,song_name,performed_by
Goodfellas,1990,Atlantis,Donovan
Goodfellas,1990,Pretend You Don't See Her,Jerry Vale
Goodfellas,1990,Remember (Walkin' in the Sand),The Shangri-Las
Goodfellas,1990,Baby I Love You,Aretha Franklin
Goodfellas,1990,Beyond the Sea,Bobby Darin
Goodfellas,1990,The Boulevard of Broken Dreams,Tony Bennett
Goodfellas,1990,Gimme Shelter,The Rolling Stones
Goodfellas,1990,Wives and Lovers,Jack Jones
Goodfellas,1990,Monkey Man,The Rolling Stones
Goodfellas,1990,Frosty the Snow Man,The Ronettes
Goodfellas,1990,Christmas (Baby Please Come Home),Darlene Love
Goodfellas,1990,Bells of St. Mary's,The Drifters
Goodfellas,1990,Unchained Melody,Vito and The Salutations
Goodfellas,1990,Danny Boy,
Goodfellas,1990,Sunshine of Your Love,Cream
Goodfellas,1990,Layla,Derek & The Dominos (as Derek and The Dominos)
Goodfellas,1990,Jump into the Fire,Harry Nilsson
Goodfellas,1990,Memo from Turner,Mick Jagger [incorrectly attributed to The Rolling Stones]
Goodfellas,1990,Magic Bus,The Who
Goodfellas,1990,What Is Life,George Harrison
Goodfellas,1990,Mannish Boy,Muddy Waters
Goodfellas,1990,My Way,Sid Vicious
One Flew Over the Cuckoo's Nest,1975,Charmaine,
One Flew Over the Cuckoo's Nest,1975,The Star Spangled Banner,
One Flew Over the Cuckoo's Nest,1975,I'm Popeye the Sailor Man,
One Flew Over the Cuckoo's Nest,1975,"Row, Row, Row Your Boat",
One Flew Over the Cuckoo's Nest,1975,Jingle Bells,
One Flew Over the Cuckoo's Nest,1975,White Christmas,
Se7en,1995,Closer (Precursor),Nine Inch Nails
Se7en,1995,El Michoacano,El Mariachi Tepalcatepec
Se7en,1995,"Suite No. 3 in D Major, BWV 1068 Air",Stuttgarter Kammerorchester / Karl Münchinger (as Karl Muchinger)
Se7en,1995,Trouble Man,Marvin Gaye
Se7en,1995,"Straight, No Chaser",Thelonious Monk
Se7en,1995,Now's the Time,Charlie Parker
